!SIL 1.0	sil
<UNK> 1.0	spn
tấu 1.0	t a a s u
tấy 1.0	t a a s y
tầm 1.0	t a a f m
tần 1.0	t a a f n
tầng 1.0	t a a f n g
tầy 1.0	t a a f y
tẩm 1.0	t a a r m
tẩn 1.0	t a a r n
tẩy 1.0	t a a r y
tậm 1.0	t a a j m
tận 1.0	t a a j n
tập 1.0	t a a j p
tật 1.0	t a a j t
tắc 1.0	t a w s c
tắm 1.0	t a w s m
tắn 1.0	t a w s n
tắt 1.0	t a w s t
tằm 1.0	t a w f m
tẳn 1.0	t a w r n
tặc 1.0	t a w j c
tặng 1.0	t a w j n g
tẹo 1.0	t e j o
tẹp 1.0	t e j p
tẻ 1.0	t e r
tế 1.0	t e e s
tết 1.0	t e e s t
tếu 1.0	t e e s u
tể 1.0	t e e r
tễ 1.0	t e e x
tễnh 1.0	t e e x n h
tệ 1.0	t e e j
tệp 1.0	t e e j p
tỉ 1.0	t i r
tỉa 1.0	t i r a
tỉm 1.0	t i r m
tỉnh 1.0	t i r n h
tị 1.0	t i j
tịch 1.0	t i j c h
tịnh 1.0	t i j n h
tọa 1.0	t o j a
tọc 1.0	t o j c
tọp 1.0	t o j p
tỏ 1.0	t o r
tỏa 1.0	t o r a
tỏi 1.0	t o r i
tố 1.0	t o o s
tốc 1.0	t o o s c
tối 1.0	t o o s i
tốn 1.0	t o o s n
tống 1.0	t o o s n g
tốp 1.0	t o o s p
tốt 1.0	t o o s t
tồi 1.0	t o o f i
tồn 1.0	t o o f n
tổ 1.0	t o o r
tổn 1.0	t o o r n
tổng 1.0	t o o r n g
tộc 1.0	t o o j c
tội 1.0	t o o j i
tột 1.0	t o o j t
tớ 1.0	t o w s
tới 1.0	t o w s i
tớn 1.0	t o w s n
tờ 1.0	t o w f
tởm 1.0	t o w r m
tợ 1.0	t o w j
tợp 1.0	t o w j p
tụ 1.0	t u j
tục 1.0	t u j c
tụi 1.0	t u j i
tụm 1.0	t u j m
tụng 1.0	t u j n g
tụt 1.0	t u j t
tụy 1.0	t u j y
tủ 1.0	t u r
tủi 1.0	t u r i
tủm 1.0	t u r m
tủn 1.0	t u r n
tủy 1.0	t u r y
tứ 1.0	t u w s
tức 1.0	t u w s c
từ 1.0	t u w f
từng 1.0	t u w f n g
tử 1.0	t u w r
tửa 1.0	t u w r a
tửu 1.0	t u w r u
tự 1.0	t u w j
tựa 1.0	t u w j a
tựu 1.0	t u w j u
tỵ 1.0	t y j
tỷ 1.0	t y r
u 1.0	u
ung 1.0	u n g
uy 1.0	u y
uyên 1.0	u y e e n
uyển 1.0	u y e e r n
uất 1.0	u a a s t
uế 1.0	u e e s
uể 1.0	u e e r
uốn 1.0	u o o s n
uống 1.0	u o o s n g
uột 1.0	u o o j t
uỵch 1.0	u y j c h
uỷ 1.0	u y r
v 1.0	v
va 1.0	v a
vai 1.0	v a i
van 1.0	v a n
vang 1.0	v a n g
vanh 1.0	v a n h
vao 1.0	v a o
vay 1.0	v a y
ve 1.0	v e
ven 1.0	v e n
veo 1.0	v e o
vi 1.0	v i
vinh 1.0	v i n h
viêm 1.0	v i e e m
viên 1.0	v i e e n
viếng 1.0	v i e e s n g
viết 1.0	v i e e s t
viền 1.0	v i e e f n
viển 1.0	v i e e r n
viễn 1.0	v i e e x n
việc 1.0	v i e e j c
viện 1.0	v i e e j n
việt 1.0	v i e e j t
vo 1.0	v o
voi 1.0	v o i
von 1.0	v o n
vong 1.0	v o n g
vu 1.0	v u
vua 1.0	v u a
vui 1.0	v u i
vun 1.0	v u n
vung 1.0	v u n g
vuông 1.0	v u o o n g
vuốt 1.0	v u o o s t
vuột 1.0	v u o o j t
vy 1.0	v y
và 1.0	v a f
vài 1.0	v a f i
vàn 1.0	v a f n
vàng 1.0	v a f n g
vành 1.0	v a f n h
vào 1.0	v a f o
vày 1.0	v a f y
vá 1.0	v a s
vác 1.0	v a s c
vách 1.0	v a s c h
vái 1.0	v a s i
ván 1.0	v a s n
váng 1.0	v a s n g
vánh 1.0	v a s n h
vát 1.0	v a s t
váy 1.0	v a s y
vân 1.0	v a a n
vâng 1.0	v a a n g
vây 1.0	v a a y
vã 1.0	v a x
vãi 1.0	v a x i
vãnh 1.0	v a x n h
vèo 1.0	v e f o
vé 1.0	v e s
vén 1.0	v e s n
vét 1.0	v e s t
vê 1.0	v e e
vên 1.0	v e e n
vênh 1.0	v e e n h
vì 1.0	v i f
ví 1.0	v i s
vía 1.0	v i s a
vít 1.0	v i s t
víu 1.0	v i s u
vò 1.0	v o f
vòi 1.0	v o f i
vòm 1.0	v o f m
vòng 1.0	v o f n g
vó 1.0	v o s
vóc 1.0	v o s c
vót 1.0	v o s t
vô 1.0	v o o
vôi 1.0	v o o i
vông 1.0	v o o n g
võ 1.0	v o x
võng 1.0	v o x n g
vù 1.0	v u f
vùi 1.0	v u f i
vùn 1.0	v u f n
vùng 1.0	v u f n g
vú 1.0	v u s
vút 1.0	v u s t
văn 1.0	v a w n
văng 1.0	v a w n g
vĩ 1.0	v i x
vĩnh 1.0	v i x n h
vũ 1.0	v u x
vũng 1.0	v u x n g
vơ 1.0	v o w
vươn 1.0	v u w o w n
vương 1.0	v u w o w n g
vướng 1.0	v u w o w s n g
vườn 1.0	v u w o w f n
vưởng 1.0	v u w o w r n g
vượng 1.0	v u w o w j n g
vượt 1.0	v u w o w j t
vạ 1.0	v a j
vạc 1.0	v a j c
vạch 1.0	v a j c h
vại 1.0	v a j i
vạm 1.0	v a j m
vạn 1.0	v a j n
vạt 1.0	v a j t
vả 1.0	v a r
vải 1.0	v a r i
vảng 1.0	v a r n g
vảy 1.0	v a r y
vấn 1.0	v a a s n
vấp 1.0	v a a s p
vất 1.0	v a a s t
vấu 1.0	v a a s u
vấy 1.0	v a a s y
vần 1.0	v a a f n
vầng 1.0	v a a f n g
vầy 1.0	v a a f y
vẩn 1.0	v a a r n
vẩy 1.0	v a a r y
vẫn 1.0	v a a x n
vẫy 1.0	v a a x y
vận 1.0	v a a j n
vật 1.0	v a a j t
vậy 1.0	v a a j y
vắc 1.0	v a w s c
vắn 1.0	v a w s n
vắng 1.0	v a w s n g
vắt 1.0	v a w s t
vằn 1.0	v a w f n
vằng 1.0	v a w f n g
vẳng 1.0	v a w r n g
vặc 1.0	v a w j c
vặn 1.0	v a w j n
vặt 1.0	v a w j t
vẹn 1.0	v e j n
vẹo 1.0	v e j o
vẹt 1.0	v e j t
vẻ 1.0	v e r
vẽ 1.0	v e x
vế 1.0	v e e s
vếch 1.0	v e e s c h
vết 1.0	v e e s t
về 1.0	v e e f
vệ 1.0	v e e j
vện 1.0	v e e j n
vệt 1.0	v e e j t
vỉ 1.0	v i r
vỉa 1.0	v i r a
vị 1.0	v i j
vịm 1.0	v i j m
vịn 1.0	v i j n
vịnh 1.0	v i j n h
vịt 1.0	v i j t
vọng 1.0	v o j n g
vọt 1.0	v o j t
vỏ 1.0	v o r
vỏn 1.0	v o r n
vốn 1.0	v o o s n
vồng 1.0	v o o f n g
vỗ 1.0	v o o x
vội 1.0	v o o j i
vớ 1.0	v o w s
với 1.0	v o w s i
vớt 1.0	v o w s t
vờ 1.0	v o w f
vời 1.0	v o w f i
vờn 1.0	v o w f n
vở 1.0	v o w r
vởn 1.0	v o w r n
vỡ 1.0	v o w x
vợ 1.0	v o w j
vợi 1.0	v o w j i
vợt 1.0	v o w j t
vụ 1.0	v u j
vụn 1.0	v u j n
vụng 1.0	v u j n g
vụt 1.0	v u j t
vứt 1.0	v u w s t
vừa 1.0	v u w f a
vừng 1.0	v u w f n g
vửng 1.0	v u w r n g
vữa 1.0	v u w x a
vững 1.0	v u w x n g
vực 1.0	v u w j c
x 1.0	x
xa 1.0	x a
xang 1.0	x a n g
xanh 1.0	x a n h
xao 1.0	x a o
xay 1.0	x a y
xe 1.0	x e
xem 1.0	x e m
xen 1.0	x e n
xeo 1.0	x e o
xi 1.0	x i
xia 1.0	x i a
xin 1.0	x i n
xinh 1.0	x i n h
xiêm 1.0	x i e e m
xiêu 1.0	x i e e u
xiếc 1.0	x i e e s c
xiết 1.0	x i e e s t
xiềng 1.0	x i e e f n g
xoa 1.0	x o a
xoan 1.0	x o a n
xoang 1.0	x o a n g
xoay 1.0	x o a y
xoe 1.0	x o e
xoen 1.0	x o e n
xoi 1.0	x o i
xom 1.0	x o m
xon 1.0	x o n
xong 1.0	x o n g
xoài 1.0	x o a f i
xoàn 1.0	x o a f n
xoàng 1.0	x o a f n g
xoá 1.0	x o a s
xoáy 1.0	x o a s y
xoè 1.0	x o e f
xoèn 1.0	x o e f n
xoét 1.0	x o e s t
xoăn 1.0	x o a w n
xoạc 1.0	x o a j c
xoảng 1.0	x o a r n g
xoắn 1.0	x o a w s n
xoẹt 1.0	x o e j t
xu 1.0	x u
xua 1.0	x u a
xui 1.0	x u i
xum 1.0	x u m
xung 1.0	x u n g
xuyên 1.0	x u y e e n
xuyến 1.0	x u y e e s n
xuân 1.0	x u a a n
xuê 1.0	x u e e
xuôi 1.0	x u o o i
xuất 1.0	x u a a s t
xuẩn 1.0	x u a a r n
xuể 1.0	x u e e r
xuống 1.0	x u o o s n g
xuồng 1.0	x u o o f n g
xy 1.0	x y
xà 1.0	x a f
xài 1.0	x a f i
xàm 1.0	x a f m
xàng 1.0	x a f n g
xào 1.0	x a f o
xá 1.0	x a s
xác 1.0	x a s c
xách 1.0	x a s c h
xám 1.0	x a s m
xán 1.0	x a s n
xáo 1.0	x a s o
xát 1.0	x a s t
xâm 1.0	x a a m
xâu 1.0	x a a u
xây 1.0	x a a y
xã 1.0	x a x
xè 1.0	x e f
xèng 1.0	x e f n g
xèo 1.0	x e f o
xé 1.0	x e s
xét 1.0	x e s t
xê 1.0	x e e
xênh 1.0	x e e n h
xì 1.0	x i f
xình 1.0	x i f n h
xìu 1.0	x i f u
xí 1.0	x i s
xích 1.0	x i s c h
xính 1.0	x i s n h
xít 1.0	x i s t
xíu 1.0	x i s u
xòa 1.0	x o f a
xòng 1.0	x o f n g
xó 1.0	x o s
xóa 1.0	x o s a
xóc 1.0	x o s c
xóm 1.0	x o s m
xót 1.0	x o s t
xô 1.0	x o o
xôi 1.0	x o o i
xôm 1.0	x o o m
xôn 1.0	x o o n
xông 1.0	x o o n g
xõa 1.0	x o x a
xù 1.0	x u f
xùm 1.0	x u f m
xúc 1.0	x u s c
xúm 1.0	x u s m
xúng 1.0	x u s n g
xăm 1.0	x a w m
xăng 1.0	x a w n g
xơ 1.0	x o w
xơi 1.0	x o w i
xưa 1.0	x u w a
xưng 1.0	x u w n g
xương 1.0	x u w o w n g
xướng 1.0	x u w o w s n g
xưởng 1.0	x u w o w r n g
xạ 1.0	x a j
xạc 1.0	x a j c
xạch 1.0	x a j c h
xạo 1.0	x a j o
xạp 1.0	x a j p
xả 1.0	x a r
xảm 1.0	x a r m
xảo 1.0	x a r o
xảy 1.0	x a r y
xấu 1.0	x a a s u
xẩm 1.0	x a a r m
xẩy 1.0	x a a r y
xắc 1.0	x a w s c
xắn 1.0	x a w s n
xắp 1.0	x a w s p
xắt 1.0	x a w s t
xẵng 1.0	x a w x n g
xẹo 1.0	x e j o
xẹp 1.0	x e j p
xẻ 1.0	x e r
xẻng 1.0	x e r n g
xế 1.0	x e e s
xếch 1.0	x e e s c h
xếp 1.0	x e e s p
xềnh 1.0	x e e f n h
xể 1.0	x e e r
xệch 1.0	x e e j c h
xỉ 1.0	x i r
xỉa 1.0	x i r a
xỉn 1.0	x i r n
xỉnh 1.0	x i r n h
xỉu 1.0	x i r u
xị 1.0	x i j
xịch 1.0	x i j c h
xịt 1.0	x i j t
xọc 1.0	x o j c
xọp 1.0	x o j p
xỏ 1.0	x o r
xốc 1.0	x o o s c
xối 1.0	x o o s i
xốn 1.0	x o o s n
xống 1.0	x o o s n g
xốp 1.0	x o o s p
xồng 1.0	x o o f n g
xổ 1.0	x o o r
xổi 1.0	x o o r i
xổm 1.0	x o o r m
xổng 1.0	x o o r n g
xộc 1.0	x o o j c
xộn 1.0	x o o j n
xới 1.0	x o w s i
xớt 1.0	x o w s t
xở 1.0	x o w r
xởi 1.0	x o w r i
xợt 1.0	x o w j t
xụ 1.0	x u j
xục 1.0	x u j c
xụi 1.0	x u j i
xụp 1.0	x u j p
xứ 1.0	x u w s
xứng 1.0	x u w s n g
xử 1.0	x u w r
xửa 1.0	x u w r a
xửng 1.0	x u w r n g
y 1.0	y
yên 1.0	y e e n
yêng 1.0	y e e n g
yêu 1.0	y e e u
yếm 1.0	y e e s m
yến 1.0	y e e s n
yếu 1.0	y e e s u
yểm 1.0	y e e r m
à 1.0	a f
ào 1.0	a f o
á 1.0	a s
ác 1.0	a s c
ách 1.0	a s c h
ái 1.0	a s i
ám 1.0	a s m
án 1.0	a s n
áng 1.0	a s n g
ánh 1.0	a s n h
áo 1.0	a s o
áp 1.0	a s p
át 1.0	a s t
áy 1.0	a s y
âm 1.0	a a m
ân 1.0	a a n
âu 1.0	a a u
ây 1.0	a a y
ã 1.0	a x
è 1.0	e f
èo 1.0	e f o
é 1.0	e s
én 1.0	e s n
éo 1.0	e s o
ép 1.0	e s p
ê 1.0	e e
êm 1.0	e e m
ì 1.0	i f
í 1.0	i s
ích 1.0	i s c h
ít 1.0	i s t
òa 1.0	o f a
òng 1.0	o f n g
óc 1.0	o s c
óe 1.0	o s e
ói 1.0	o s i
óng 1.0	o s n g
ô 1.0	o o
ôi 1.0	o o i
ôm 1.0	o o m
ôn 1.0	o o n
ông 1.0	o o n g
ù 1.0	u f
ùa 1.0	u f a
ùn 1.0	u f n
ú 1.0	u s
úa 1.0	u s a
úm 1.0	u s m
úng 1.0	u s n g
úp 1.0	u s p
út 1.0	u s t
úy 1.0	u s y
ý 1.0	y s
ăm 1.0	a w m
ăn 1.0	a w n
đa 1.0	d d a
đai 1.0	d d a i
đam 1.0	d d a m
đan 1.0	d d a n
đang 1.0	d d a n g
đanh 1.0	d d a n h
đao 1.0	d d a o
đau 1.0	d d a u
đay 1.0	d d a y
đe 1.0	d d e
đem 1.0	d d e m
đen 1.0	d d e n
đeo 1.0	d d e o
đi 1.0	d d i
đia 1.0	d d i a
đinh 1.0	d d i n h
điên 1.0	d d i e e n
điêu 1.0	d d i e e u
điếc 1.0	d d i e e s c
điếm 1.0	d d i e e s m
điếu 1.0	d d i e e s u
điềm 1.0	d d i e e f m
điền 1.0	d d i e e f n
điều 1.0	d d i e e f u
điểm 1.0	d d i e e r m
điển 1.0	d d i e e r n
điểu 1.0	d d i e e r u
điệm 1.0	d d i e e j m
điện 1.0	d d i e e j n
điệp 1.0	d d i e e j p
điệu 1.0	d d i e e j u
đo 1.0	d d o
đoan 1.0	d d o a n
đom 1.0	d d o m
đong 1.0	d d o n g
đoài 1.0	d d o a f i
đoàn 1.0	d d o a f n
đoàng 1.0	d d o a f n g
đoán 1.0	d d o a s n
đoạn 1.0	d d o a j n
đoạt 1.0	d d o a j t
đoảng 1.0	d d o a r n g
đu 1.0	d d u
đua 1.0	d d u a
đui 1.0	d d u i
đun 1.0	d d u n
đung 1.0	d d u n g
đuôi 1.0	d d u o o i
đuốc 1.0	d d u o o s c
đuối 1.0	d d u o o s i
đuổi 1.0	d d u o o r i
đuột 1.0	d d u o o j t
đà 1.0	d d a f
đài 1.0	d d a f i
đàm 1.0	d d a f m
đàn 1.0	d d a f n
đàng 1.0	d d a f n g
đành 1.0	d d a f n h
đào 1.0	d d a f o
đá 1.0	d d a s
đác 1.0	d d a s c
đái 1.0	d d a s i
đám 1.0	d d a s m
đáng 1.0	d d a s n g
đánh 1.0	d d a s n h
đáo 1.0	d d a s o
đáp 1.0	d d a s p
đáy 1.0	d d a s y
đâm 1.0	d d a a m
đâu 1.0	d d a a u
đây 1.0	d d a a y
đã 1.0	d d a x
đãi 1.0	d d a x i
đãng 1.0	d d a x n g
đè 1.0	d d e f
đèn 1.0	d d e f n
đèo 1.0	d d e f o
đéc 1.0	d d e s c
đéo 1.0	d d e s o
đê 1.0	d d e e
đêm 1.0	d d e e m
đênh 1.0	d d e e n h
đêu 1.0	d d e e u
đìa 1.0	d d i f a
đình 1.0	d d i f n h
đìu 1.0	d d i f u
đích 1.0	d d i s c h
đính 1.0	d d i s n h
đít 1.0	d d i s t
đò 1.0	d d o f
đòi 1.0	d d o f i
đòm 1.0	d d o f m
đòn 1.0	d d o f n
đòng 1.0	d d o f n g
đó 1.0	d d o s
đóa 1.0	d d o s a
đói 1.0	d d o s i
đóm 1.0	d d o s m
đón 1.0	d d o s n
đóng 1.0	d d o s n g
đô 1.0	d d o o
đôi 1.0	d d o o i
đôn 1.0	d d o o n
đông 1.0	d d o o n g
đùa 1.0	d d u f a
đùi 1.0	d d u f i
đùm 1.0	d d u f m
đùng 1.0	d d u f n g
đú 1.0	d d u s
đúc 1.0	d d u s c
đúm 1.0	d d u s m
đúng 1.0	d d u s n g
đúp 1.0	d d u s p
đút 1.0	d d u s t
đăng 1.0	d d a w n g
đĩ 1.0	d d i x
đĩa 1.0	d d i x a
đũa 1.0	d d u x a
đũng 1.0	d d u x n g
đơ 1.0	d d o w
đơm 1.0	d d o w m
đơn 1.0	d d o w n
đưa 1.0	d d u w a
đương 1.0	d d u w o w n g
đước 1.0	d d u w o w s c
đường 1.0	d d u w o w f n g
được 1.0	d d u w o w j c
đạc 1.0	d d a j c
đạch 1.0	d d a j c h
đại 1.0	d d a j i
đạm 1.0	d d a j m
đạn 1.0	d d a j n
đạo 1.0	d d a j o
đạp 1.0	d d a j p
đạt 1.0	d d a j t
đả 1.0	d d a r
đảm 1.0	d d a r m
đản 1.0	d d a r n
đảng 1.0	d d a r n g
đảo 1.0	d d a r o
đấm 1.0	d d a a s m
đất 1.0	d d a a s t
đấu 1.0	d d a a s u
đấy 1.0	d d a a s y
đầm 1.0	d d a a f m
đầu 1.0	d d a a f u
đầy 1.0	d d a a f y
đẩu 1.0	d d a a r u
đẩy 1.0	d d a a r y
đẫm 1.0	d d a a x m
đẫy 1.0	d d a a x y
đậm 1.0	d d a a j m
đận 1.0	d d a a j n
đập 1.0	d d a a j p
đật 1.0	d d a a j t
đậu 1.0	d d a a j u
đậy 1.0	d d a a j y
đắc 1.0	d d a w s c
đắm 1.0	d d a w s m
đắn 1.0	d d a w s n
đắng 1.0	d d a w s n g
đắp 1.0	d d a w s p
đắt 1.0	d d a w s t
đằm 1.0	d d a w f m
đằng 1.0	d d a w f n g
đẳng 1.0	d d a w r n g
đặc 1.0	d d a w j c
đặn 1.0	d d a w j n
đặng 1.0	d d a w j n g
đặt 1.0	d d a w j t
đẹp 1.0	d d e j p
đẻ 1.0	d d e r
đẽ 1.0	d d e x
đẽo 1.0	d d e x o
đế 1.0	d d e e s
đếm 1.0	d d e e s m
đến 1.0	d d e e s n
đề 1.0	d d e e f
đềm 1.0	d d e e f m
đền 1.0	d d e e f n
đềnh 1.0	d d e e f n h
đều 1.0	d d e e f u
để 1.0	d d e e r
đểnh 1.0	d d e e r n h
đểu 1.0	d d e e r u
đễnh 1.0	d d e e x n h
đệ 1.0	d d e e j
đệm 1.0	d d e e j m
đỉnh 1.0	d d i r n h
địa 1.0	d d i j a
địch 1.0	d d i j c h
định 1.0	d d i j n h
địu 1.0	d d i j u
đọ 1.0	d d o j
đọc 1.0	d d o j c
đọng 1.0	d d o j n g
đỏ 1.0	d d o r
đố 1.0	d d o o s
đốc 1.0	d d o o s c
đối 1.0	d d o o s i
đốm 1.0	d d o o s m
đốn 1.0	d d o o s n
đống 1.0	d d o o s n g
đốt 1.0	d d o o s t
đồ 1.0	d d o o f
đồi 1.0	d d o o f i
đồn 1.0	d d o o f n
đồng 1.0	d d o o f n g
đổ 1.0	d d o o r
đổi 1.0	d d o o r i
đổng 1.0	d d o o r n g
đỗ 1.0	d d o o x
đỗi 1.0	d d o o x i
độ 1.0	d d o o j
độc 1.0	d d o o j c
đội 1.0	d d o o j i
độn 1.0	d d o o j n
động 1.0	d d o o j n g
độp 1.0	d d o o j p
đột 1.0	d d o o j t
đới 1.0	d d o w s i
đớn 1.0	d d o w s n
đờ 1.0	d d o w f
đời 1.0	d d o w f i
đờm 1.0	d d o w f m
đờn 1.0	d d o w f n
đỡ 1.0	d d o w x
đợi 1.0	d d o w j i
đợp 1.0	d d o w j p
đợt 1.0	d d o w j t
đục 1.0	d d u j c
đụn 1.0	d d u j n
đụng 1.0	d d u j n g
đủ 1.0	d d u r
đứa 1.0	d d u w s a
đức 1.0	d d u w s c
đứng 1.0	d d u w s n g
đứt 1.0	d d u w s t
đừng 1.0	d d u w f n g
đựng 1.0	d d u w j n g
ĩ 1.0	i x
ơ 1.0	o w
ơi 1.0	o w i
ơn 1.0	o w n
ư 1.0	u w
ưa 1.0	u w a
ưng 1.0	u w n g
ưu 1.0	u w u
ươm 1.0	u w o w m
ương 1.0	u w o w n g
ước 1.0	u w o w s c
ướp 1.0	u w o w s p
ướt 1.0	u w o w s t
ạ 1.0	a j
ạch 1.0	a j c h
ạt 1.0	a j t
ả 1.0	a r
ảm 1.0	a r m
ảnh 1.0	a r n h
ảo 1.0	a r o
ấm 1.0	a a s m
ấn 1.0	a a s n
ấp 1.0	a a s p
ấu 1.0	a a s u
ấy 1.0	a a s y
ầm 1.0	a a f m
ầu 1.0	a a f u
ẩm 1.0	a a r m
ẩn 1.0	a a r n
ẩu 1.0	a a r u
ậm 1.0	a a j m
ập 1.0	a a j p
ắp 1.0	a w s p
ắt 1.0	a w s t
ằng 1.0	a w f n g
ẵm 1.0	a w x m
ặc 1.0	a w j c
ẻn 1.0	e r n
ế 1.0	e e s
ếch 1.0	e e s c h
ềnh 1.0	e e f n h
ệch 1.0	e e j c h
ện 1.0	e e j n
ỉa 1.0	i r a
ỉm 1.0	i r m
ỉn 1.0	i r n
ỉu 1.0	i r u
ịch 1.0	i j c h
ọc 1.0	o j c
ọe 1.0	o j e
ỏi 1.0	o r i
ỏn 1.0	o r n
ỏng 1.0	o r n g
ố 1.0	o o s
ốc 1.0	o o s c
ốm 1.0	o o s m
ống 1.0	o o s n g
ốp 1.0	o o s p
ồ 1.0	o o f
ồn 1.0	o o f n
ồng 1.0	o o f n g
ổ 1.0	o o r
ổi 1.0	o o r i
ổn 1.0	o o r n
ổng 1.0	o o r n g
ộc 1.0	o o j c
ộn 1.0	o o j n
ộp 1.0	o o j p
ớ 1.0	o w s
ới 1.0	o w s i
ớn 1.0	o w s n
ớt 1.0	o w s t
ờ 1.0	o w f
ở 1.0	o w r
ợ 1.0	o w j
ụ 1.0	u j
ục 1.0	u j c
ủ 1.0	u r
ủa 1.0	u r a
ủi 1.0	u r i
ủn 1.0	u r n
ủng 1.0	u r n g
ủy 1.0	u r y
ứ 1.0	u w s
ứa 1.0	u w s a
ức 1.0	u w s c
ứng 1.0	u w s n g
ừ 1.0	u w f
ửng 1.0	u w r n g
ỷ 1.0	y r
